index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,City,State,Headquarters State,min_salary,max_salary,avg_salary,company_age,Job Type,Python,Scala,Pyspark,PowerBi
608,data scientist,$80.000-$132.000 ,"Date Posted 2018-10-22  Location Various Locations  Job Title Data Scientist  Job ID IMGDS18 Apply this Job  Job Description  IMG Systems, Inc. seeks Master�s+1yr/Bachelor�s+5yrs exp/equiv. Data Scientist (IMGDS18): Data Visualization, Natural Language Processing (NLP), Machine Learning (ML), Python, Numpy. Mail resume with job ID to: HR, 400 Chisholm Place, Suite 414, Plano, TX 75075. Travel to unanticipated work sites throughout the U.S. Foreign equiv. accepted.",32.0,IMG Systems3.2,Plano,1-50,2024,Private Company,Consulting,Business Services,1 to 5 million ,Plano, TX, TX,80,132,106.0,0,NA,1,0,0,0
125,sr. ml/data scientist - ai/nlp/chatbot,$99.000-$132.000 ,"Sr. ML/Data Scientist - AI/NLP/Chatbot  Mist, a Juniper Company, is the first vendor to bring enterprise-grade Wi-Fi, BLE and IoT together through a highly scalable cloud architecture. At Mist, we built the first AI-empowered platform to provide an unprecedented visibility into the user experience. Mist is the new global standard for many fortune 500 companies.  The mission of the Data Science team at Mist is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.  Now we are looking for a Senior Data Scientist to help define and expand this mission. As a data scientist, you will collaborate with product managers and domain experts to identify use-impacting real customer problems, use your deep DS/ML knowledge to develop data-driven solution with terabytes data, and work closely with data engineers to implement and scale the models in production.  Qualifications/Requirements: � MS or PhD in Computer Science, Electrical Engineering, Statistics, Applied Math or equivalent fields with strong mathematical background � Excellent understanding of machine learning techniques and algorithms, including clustering, anomaly detection, optimization, neural network etc � 3+ years experiences building data science-driven solutions including data collection, feature selection, model training, post-deployment validation � Strong hands-on coding skills (preferably in Python) processing large-scale data set and developing machine learning models � Familiar with one or more machine learning or statistical modeling tools such as Numpy, ScikitLearn, MLlib, Tensorflow � Good team worker with excellent communication skills written, verbal and presentation  Desired Experience: � Experience with AWS, S3, Flink, Spark, Kafka, ElasticSearch � Knowledge and experience with NLP technology � Previous work in a start-up environment  Juniper Networks is enrolled in E-Verify� and will be participating in E-Verify in addition to our Form I-9 process. www.dhs.gov/E-Verify Juniper Networks is an Equal Opportunity/Affirmative Action Employer.",38.0,Juniper Networks3.8,Sunnyvale,5001-10000,1996,Public Company,Telecommunications Services,Telecommunications,2 to 5 billion ,Cupertino, CA, CA,99,132,115.5,28,Senior,1,0,0,0
138,data analyst,$90.000-$109.000 ,"Data Analyst -San Francisco  No C2C or sponsorship  You will do data summarization, data manipulation, literature review, paired programming, team meetings, code reviews and pull requests  Must have: Python coding skills, data manipulation, statistical analysis, Big Data discovery and visualization.  Basic Qualifications:  BA/BS in Applied Math, Statistics, Biostatistics, Computer Science, Physics, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience.  Strong Python coding skills for data management, visualization, and basic modeling including experience with standard data science packages (numpy, pandas, matplotlib, seaborn, sklearn)  Knowledgeable of version control, e.g. git.  Strong communication skills for effective interactions with business stakeholders as well as peer groups and team members  Preferred Qualifications:  Experience with exploratory Big Data discovery through the use of technologies such as Tableau, Hadoop, MapReduce, or Spark (PySpark preferred)  Statistical and/or machine learning background  Knowledge of agricultural technology especially with regard to row crops  Curiosity and an open-mind towards unfamiliar data sources and unfamiliar quantitative domains",45.0,Envision LLC4.5,Saint Louis,201-500,1994,Private Company,Staffing and Outsourcing,Business Services,25 to 50 million ,San Francisco, CA, MO,90,109,99.5,30,NA,1,0,1,0
244,real world evidence (rwe) scientist,$90.000-$124.000 ,"Genesis Research is an international healthcare consultancy providing end-to-end evidence development, optimization and communication services for Life Sciences groups. Our RWE-S team has seen exceptional growth and success in providing holistic and comprehensive support to Life Science organizations. We are looking for an experienced Real World Evidence (RWE) Scientist to join our research team. Location: Hoboken, New Jersey. Responsibilities: Conceptualize the scope of projects and work with the team from project initiation through completion of client deliverables Work with project teams to identify data needs, sources, and structure to support client issues problem solving Understand the strengths and limitations of Real-World Data (RWD) sources Generate Evidence and Analyze large and complex healthcare data (Claims, EMR, and Registry Data) using R, SQL, Python Participate in the production and presentation of deliverables Develop creative solutions for complex problems Key Requirements: Bachelor�s degree in a technical or quantitative field from an accredited college or university (e.g., statistics/ biostatistics, epidemiology, bioinformatics, health economics, mathematics, outcomes research, public health, biology, medicine); Masters, MPH or PhD degree preferred 3+ years relevant work experience (less with PhD) Demonstrated knowledge of R/SQL and statistical methods Experience developing and implementing statistical analysis plans utilizing RWD or clinical trials Demonstrated thorough aptitude for conducting quantitative and qualitative analyses Willingness to provide superior customer service through first-rate work product Ability to work independently and collaboratively Strong communication skills with the ability to explain technical data analysis results to business people, as well as communicate quantitative challenges and issues to technical people Knowledge Preferred: Significant experience working with analytical models and visualization techniques and tools Advanced analytics techniques (regression, simulation, etc.) Identifying and addressing client needs, building relationships with clients, developing requests for proposals Creative and innovative problem solving skills Ability to work under tight deadlines in a highly dynamic environment. Experience developing scientific communications (Abstracts, Posters, Reports) Compensation: Competitive salary, 401K, performance-related bonus and health insurance benefits. Genesis Research is an equal opportunities employer.",50.0,Genesis Research5.0,Hoboken,1-50,2009,Private Company,Biotech and Pharmaceuticals,Biotech and Pharmaceuticals,N/A ,Hoboken, NJ, NJ,90,124,107.0,15,NA,1,0,0,0
315,data scientist,$145.000-$225.000,"""Who we are Criteo (NASDAQ: CRTO) is the global technology company powering the worlds marketers with trusted and impactful advertising. 2,800 Criteo team members partner with over 20,000 customers and thousands of publishers around the globe to deliver effective advertising across all channels, by applying advanced machine learning to unparalleled data sets. Criteo empowers companies of all sizes with the technology they need to better know and serve their customers.  We are looking for a highly motivated Data Scientist to contribute to the development of ourMachine Learning algorithms, with a passion for the digital ecosystem. The ideal candidate will have an extensive experience in analyzing large data sets, with outstanding skills to identify and quantify opportunities for optimizations. You must thrive in a start-up environment, be proactive, detail oriented and eager to learn and keep-up with an evolving product landscape. Experience in building machine learning models is a plus. How You'll Make An Impact You will contribute to building and improving the precision of our prediction models, such as CTR/CR prediction or user engagement scoring. Contribute to the development of a high-performance marketing product for the retail industry. Optimize precision in our models, used in to rank our ads in real time within 10ms. Gather and analyze data to extract valuable information relevant to prediction models. Identify key prediction problems and propose innovating solutions. Report, visualize and communicate results. Contribute to the exploration and creation of new scientific understanding. Work closely to satisfy stakeholders on other Product as well as other R&D teams to net our clients optimal performance results. What We're Looking For BS/MS in Data Science, Computer Science, Statistics, or a related field. 2+ years of experience dealing with big datasets using tools that run on Hadoop. 2+ years of programming experience, in Python or another language (C#, Java, C++ or other scripting languages are all good). Experience developing and extending systems of moderate complexity A passion for shipping quality high-performance code A strong sense of ownership and a dislike for passing the buck A problem solver, a fixer, and a creative technologist. We believe data analytics is a talent and a passion, not just a skill A strong communicator and a team player who can work efficiently with others Bonus Skills Practical experience writing Map/Reduce, Spark or Hive/Presto or using a machine learning frameworks like TensorFlow. Familiarity with Java, or Scala Experience working with product owners to understand and implement business requirements A demonstrated track record of taking initiative and acting as a leader Experience working well in a very fast-paced and continuously changing environment Engineering In Ann Arbor Engineering Driven Organization Industry Leading Technology Opportunity to Learn and Grow Talented & Welcoming Team Fun & Supportive Culture Amazing Downtown Ann Arbor Office Our Ann Arbor location is one of 4 engineering centers at Criteo (along with Palo Alto, Grenoble, and Paris). The office, which was added by acquisition in 2016, is the primary development center for Criteo Sponsored Products. We are a team of 80+ thats making an impact and is widely recognized for our talent and innovation. Weve retained a small company feel while being part of something big.  About Ann Arbor Office: http://labs.criteo.com/aacareers/ About Engineering at Criteo: http://labs.criteo.com/  At Criteo, we dare to be different. We believe that diversity fuels innovation and creates an energy that can be seen and felt all over Criteo. We champion different perspectives and are committed to creating a workplace where all Criteos are heard and feel a sense of belonging.  Criteo collects your personal data for the purposes of managing Criteo's recruitment related activities. Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to the different Criteo entities across the world. By clicking the """"Apply"""" button you expressly give your consent.""",39.0,Criteo3.9,Paris,1001-5000,2005,Public Company,Internet,Information Technology,2 to 5 billion ,Ann Arbor, MI, France,145,225,185.0,19,NA,1,1,0,0
488,data scientist,$95.000-$119.000 ,"WHAT WE DO MATTERS:  Here at The Knot Worldwide, we believe in doing work that matters. In 15 countries around the world, our leading family of brands (The Knot, WeddingWire, Bodas, GigMasters, The Bump, How They Asked, Lasting, and more) inspire, inform, and celebrate our communities as they move through life's milestones. From the proposal to creating a home, and starting a family together, we're there for every step of the journey. Our couples and business partners depend on us. They're all in. So are we.  ABOUT THE ROLE AND OUR TEAM:  The Knot Worldwide is in search of a full-time Data Scientist. Our Data Scientists work with stakeholders across all departments within the company. They answer strategic questions and provide insight to internal decision makers ranging from executives and senior management to product managers and team leads. They also work with our product team to develop data driven algorithms that improve features on the website.  RESPONSIBILITIES: Create smarter product solutions for our couples and vendors Answer strategic questions by analyzing behavioral data Communicate, collaborate and present results to clients within The Knot Worldwide Explore novel ways to look at our data SUCCESSFUL DATA SCIENTIST CANDIDATES HAVE: Master's Degree or Ph.D. preferred Proficiency in key statistical and machine learning techniques (predictive modeling, classification, clustering, text analytics, recommender systems , data mining methods, forecasting, and other advanced techniques) Proficiency with R or Python Familiarity with common Linux command line tasks and version control software like git or svn preferable Ability to communicate effectively and influence others Ability to work in a fast paced environment and shift gears quickly At The Knot Worldwide, we believe you are more than a resume and invite you to go for it, take the leap of faith, and apply for this job if it sparks your passion to join TKWW and make a difference!  WHAT WE LOVE ABOUT YOU: You deeply understand our users and put them at the center of everything you do. You aim to serve and delight them every day. You are respectful and act with the highest integrity. You ask questions to understand a perspective and are comfortable respectfully challenging assumptions. You set clear ambitious goals. You anticipate obstacles, persevere, and are accountable for your commitments. You aren't afraid to challenge the status quo and know that there's no such thing as failure if you learn from it. You seek out feedback and never settle in your quest to grow and develop. By being here, you make our company stronger. WHAT YOU LOVE ABOUT US:  The Knot Worldwide offers a unique employee experience and we are deeply proud of our award-winning culture. From flexible vacation and generous parental leave benefits to promoting wellness and giving back to our community, we believe in happiness above all else�in and out of the office.  ----  The Knot Worldwide provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, or disability. In addition to federal law requirements, The Knot Worldwide complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. The Knot Worldwide expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.  --  This position is not eligible for sponsorship.  --  If you are a resident of California, by submitting your application, you acknowledge that you've read the California Privacy Notice.",35.0,The Knot Worldwide3.5,Chevy Chase,1001-5000,2019,Private Company,Internet,Information Technology,N/A ,Washington, DC, MD,95,119,107.0,5,NA,1,0,0,0
618,data scientist,$87.000-$141.000 ,"Position Description   Data Scientist Location   National Capital Region, VA  Job Code  122  # of openings  1  Apply Now  Overview:  Based in Northern, VA, Axiologic Solutions LLC has opportunities for you to become part of our high-quality team that delivers innovative solutions to key federal clients. We are currently seeking a Data Scientist to oversee and manage complex, state of the art, new unique programs and projects related to information technology.  Responsibilities: Develop and presents issues, conclusions, and recommendations to senior leadership based on reviews and evaluations. Directs and conducts analysis of requirements pertaining to Agency programs and objectives. Examines policies to identify those affecting programs and determines approaches to resolving issues Identify problem areas, define the nature and scope of the problem and objectives sought. Work with a team to design, implement, and maintain new systems. Provide guidance to the customer on best-practices. Perform other duties as assigned. Qualifications: Must have an active/current TS/SCI and be able to pass a CI Poly. Approximately ten (10) years of experience in information systems development, focused on processing large volume, near-real time data feeds to meet data analytics and security requirements. Experience and knowledge of tools associated with counterintelligence and HUMINT collectors. Bachelor's Degree in computer science, information systems management, mathematics, engineering, or other relevant discipline. Knowledge of web services feeds. Demonstrated work experience in architecting new system solutions using current technologies, as well as transitioning existing systems into modern technologies without negatively impacting operational and compliance requirements. Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists, etc. Demonstrated experience as a SME to prioritize and meet tactical and strategic requirements for frameworks and systems to process data. Demonstrated experience in information systems development across the IT lifecycle, with a focus on systems to perform high volume and velocity data processing on disparate data types/formats. Demonstrated experience architecting and delivering automated and scalable data process monitoring and data quality systems and processes. Must be a diverse thinker and be able to work in a large group setting. Write and edit technical documents and reports; Write, edit, and produce contents for contract deliverables: reports, training materials, presentation slides, letters, fact sheets, diagrams, and capability. Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion. Communicate formally and informally through existing forums to stakeholders at all levels, including senior leadership. AWS, Atlassian Suite products like Jira/Confluence and AWS Cloud experience desired. Work Environment: This is a full-time position, requiring 40 hours per week Monday through Friday within the contract hours of 6:00 a.m. to 6:00 p.m. Travel Requirements: Travel may be required both inside and outside the Washington National Capital Region (NCR). Equal Opportunity Employer�minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity.  Applicants with a physical or mental disability, who require a reasonable accommodation for any part of the application or hiring process, may e-mail their request to Jennifer.chavira@axiologicsolutions.com, call 571-758-3780, or visit our office at 8280 Willow Oaks Corp. Dr. Suite 450, Fairfax Virginia for assistance. Determinations on request for reasonable accommodation will be made on a case-by-case basis.",45.0,Axiologic Solutions4.5,Fairfax,51-200,2009,Private Company,Aerospace and Defense,Aerospace and Defense,N/A ,Alexandria, VA, VA,87,141,114.0,15,NA,0,0,0,0
83,data scientist - image and video analytics,$79.000-$131.000 ,"Company Industry: Technology Opportunity: The Mom Project is helping to source candidates for the above client who is looking for a Data Scientist - Image and Video Analytics Commitment Level: 40 hours per week, on-site, 10% travel  Our Customer is a data storage company. They help maximize humanity�s potential by delivering world-class, precision-engineered data solutions developed through sustainable and profitable partnerships. They honor their people�s craftsmanship, take great pride in successfully collaborating with their partners, and care deeply about customers and their data. Their solutions help protect memories, business intelligence, communication records, and so much more.  Overview: We are seeking a Staff Data Scientist - Image and Video Analytics to support the Operations & Technology Advanced Analytics Group.  What You�ll Do: � This role is to facilitate the advancement of modern analytical techniques across Seagate organizations � Leverage and/or develop innovative data mining and machine learning methods to solve novel and diverse business problems � Focus on image/video analytics, edge computing projects by applying techniques in machine learning, deep learning, and statistical algorithms � Develop data science solutions for analytics challenges in the areas of Edge Computing, IoT sensors, Industry 4.0, Prognostics and Health Management, and other technical areas � Quantify the effectiveness and value of innovations with subject matter experts � Provide technical advice and coaching to the junior analytics staff  About you: � Evangelist and an assessor in promoting new ways of diving into complex issues while assessing current practices and identifying areas where training or knowledge would help � Strong oral and written communication skills � Strong business mindset with the ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders � Self-starter with the ability to drive initiatives and influence � Ability to work alone as well as in a team environment � Collaborative attitude and a global mindset with an ability to work well with native and non-native English speakers � Demonstrated leadership skills along with the ability to lead a team; mentor junior staff and closeout technical projects  Must Haves: � 8 years of experience � Proven track record in solving industrial image and video analytics problems; computer vision and a willingness of deep learning of industry standards is required. � Hands-on experience in developing and deploying image and video analytics solutions � Good understanding of image/video analytics lifecycle from image/video data gathering, processing, model development, verification, deployment, and model updating � High proficiency in Python � Hands-on skills in machine learning, deep learning, statistical algorithms, data mining, data structures, and data engineering � Proven track record in delivering analytics solutions using TensorRT, Time Series Analysis, Keras, Tensorflow, CNN, GAN, and RNN techniques � Kubernetes/Docker; Microservices deployment and design patterns, RESTful web services, web applications, and dashboard development � Hadoop, Spark, and cloud computing infrastructures � Ability to deploy data science solutions in cloud analytics infrastructure, AWS � Ability to participate in conference calls outside of regular local work hours  Education: Bachelor�s Degree  Desired Education: Masters or PhD  Hours & Location: Standard M-F, 40 hours/week. The position will be starting in Longmont, CO. There is no remote capability for this role.",49.0,The Mom Project4.9,Chicago,1-50,2016,Private Company,Staffing and Outsourcing,Business Services,N/A ,Longmont, CO, IL,79,131,105.0,8,NA,1,0,0,0
134,machine learning engineer,$90.000-$109.000 ,"Role Description Triplebyte screens and evaluates thousands of engineers per month to find the best candidates for our partner companies. Human decision making doesn't work at our scale; our marketplace is powered by automated assessment and decision making. Triplebyte has three cornerstone ML products: our quiz, our interview, and our matchmaking. As a machine learning engineer, you'll be responsible for the end-to-end process of designing and running experiments to serving production models at scale. Some of our pipelines use off the shelf components, but we're also implementing custom models and techniques from the latest research papers. We're also building forecasting tools for internal teams to measure and predict outcomes. This is an ideal role for an engineer or data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results. Fields your work will touch on Psychometrics Recommender systems Time series analysis Survival analysis Bayesian inference Probabilistic programming Requirements Robust exploratory/experimental skills. We have a novel dataset of candidate profiles and interview outcomes from our candidate screening process and our hiring marketplace. You'll be responsible for designing and evaluating experiments to predict downstream outcomes. Ability to implement models from research. Some of our best improvements in both speed and predictiveness has come from doing literature surveys and implementing novel techniques from research papers. Engineering skills. This is a hybrid research/engineering role. You'll be responsible for productionizing your pipelines/models and integrating against our back-end services. About Triplebyte Triplebyte is a hiring marketplace used by companies like Apple, Dropbox, Stripe, and Instacart to hire the best technical talent. We are on a mission to build a meritocratic hiring process, and we do all our evaluation background blind. Our ultimate goal is to collect the largest dataset and use this to build the world's best technical hiring process. No other company has successfully done what we're doing in this field. We are growing extremely quickly, working on a problem that is fundamental, sitting at the crossroads between the workforce and employers. Ten years from now, it'll look silly to use anything other than Triplebyte for technical hiring. Company Culture We have a laid-back, friendly office culture. Over lunch you'll often find us discussing the latest in technology, books, and pop culture, and then maybe getting in a quick game of chess or babyfoot (foosball). Since we're an early-stage company, we move fast, and it's important that each member of our team is able to take ownership of projects by defining problems, brainstorming solutions, and running experiments.",32.0,Triplebyte3.2,San Francisco,51-200,2015,Private Company,Computer Hardware and Software,Information Technology,N/A ,Remote,, CA,90,109,99.5,9,NA,0,0,0,0
289,data scientist,$141.000-$225.000 ,"We're looking for data scientists to work on our core and business products with a passion for Internet technology to help drive informed business decisions. You will enjoy working with one of the strongest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis.  The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are scrappy, focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.  REQUIREMENTS:  3+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions & reporting results across stakeholders 3+ years of SQL development experience writing queries 3+ years of experience in a role with data analysis and metrics development  Additional Skills: Development experience in Python/R or similar. Knowledge of statistics and optimization techniques (e.g., hypothesis testing, regressions) Ability to initiate and drive projects to completion with minimal guidance. Ability to communicate the results of analyses in a clear and effective manner with product and leadership teams  Education:  Degree in Computer Science, Stats, Math, Engineering or other technical field.  Is this position open to candidates who can only work remote? No  ***Mandatory Screening Question***  Please describe a project you are proud of and why?",34.0,Mackin3.4,Pittsburgh,51-200,1960,Private Company,Architectural and Engineering Services,Business Services,10 to 25 million ,Menlo Park, CA, PA,141,225,183.0,64,NA,1,0,0,0
504,data scientist,$95.000-$119.000 ,"Job Description Working at Sophinea  Sophinea is looking for individuals who are passionate about data and want to join a growing company that is intently focused on bringing clarity to data for our clients. At Sophinea, we use data to support complex programs and missions of global significance. As an employee you will have the opportunity to contribute to our clients' success through applying your knowledge in Technology and Business Consulting to design data solutions that empower our clients to make data-driven decisions. If you have a passion for data and thrive on delivering highly valued solutions, Sophinea is the company for you!  Citizenship Requirement  Must be a United States citizen with an Active Secret Security Clearance  Position Overview  Sophinea is seeking a Data Scientist to join our team who has a passion for deriving meaningful insight from raw, complex data sets.  This role provides the opportunity to leverage experience in multiple facets of data science - from developing data models to delivering visualizations that enable business leaders to gain deep insight to the health of the program and identify potential areas for growth.  This position is a hybrid role that will enable you to work across several different teams, each having unique use cases for data reporting and visualization. Additionally, you will have the opportunity to work closely with the Program Management team to analyze data and report results directly to Senior Executives.  Responsibilities Analyze highly complex business requirements and generate technical specifications to design or redesign interactive dashboards for internal and external users Gain a deep understanding of key business and data requirements to design and develop dashboards, data visualizations, and complex reports Define, execute, and interpret complex/nested data models and queries Establish standards and best practices for dashboards and related technologies Manage a repository of re-usable data visualization templates and views Support activities to document, evolve, and communicate data models and visualizations Implement row-level security for embedded reporting Qualifications Bachelor's degree in a technical field such as computer science, computer engineering, or related field required 2-5 years� experience required Experience in designing, developing, and successfully deploying large scale projects from end-to-end Experience with relational databases, specifically SQL, and non-SQL and big-data technologies Experience consolidating information from various data sources Experience working with multiple datasets with a high degree of complex relationships Experience supporting numerous Business Management reports and dashboards using data visualization tools Education  Bachelors in Computer Science, Engineering or a related field.",38.84,Sophinea,Chantilly,1-50,2024,Unknown,Not Available,Not Available,N/A ,Chantilly, VA, VA,95,119,107.0,0,NA,0,0,0,0
9,data scientist,$137.000-$171.000 ,"Ready to write the best chapter of your career? XSELL Technologies is an artificial intelligence company focused on increasing sales. Our cloud-based machine learning engine uses predictive analytics and natural language processing to equip sales professionals with the best real-time responses, driving improved conversion rates and customer experiences. We pride ourselves on our high performing, collaborative culture. We are passionate about our product, our clients, and our industry leading results.  XSELL is currently seeking a Data Scientist to serve as a key member of our Data Science team. This role will work within the SAFe Agile framework of continuous delivery, work with other Data Scientists, and be a critical resource for our growing Data Science staff.  Job Description Designing, implementing and improving XSELL�s proprietary softwares, real time messaging recommendation systems, HiPerCoBot and QABOt using various mathematical, Natural Language Processing (NLP) algorithms and machine learning models. Developing new systems using Python NLP (lemmatization, stemming, named entity recognition) and updating the existing systems by adding new features to enhance the customers experience. Interacting with stakeholders to identify the requirements and define new processes. Closely work with the team to define the architecture of the Microservice environment and deploy systems using RESTful API�s. Planning, development, and analysis of dialogue prediction/sentiment models, causal models of customer/agent behavior. Improving the accuracy of the in house XSELL Recommendation System software suite by evaluating and monitoring annotations manually labelled by Ontology team. Analyzing and researching the current market trends for possible AI opportunities/improvements. Qualifications MS/PhD in a quantitative discipline (e.g. Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field). 3+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data. Proficiency in Python with knowledge of basic libraries for data manipulation, machine learning, natural language processing and text mining. Experience creating and using advanced machine learning algorithms (regression, neural networks, etc.) Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, PyTorch. Nice to Have Experience in SQL. Understanding of object oriented design. Ability to craft new concepts and stay current with academic research Experience with graph databases and graph designs. Experience in designing/developing production level machine learning architectures (using Flask or Redis) We provide competitive compensation, generous benefits, and a professional atmosphere. XSELL fosters an entrepreneurial, results driven work environment where you will have the opportunity to be part of a collaborative, inclusive team and be able to grow and develop your professional career.  XSELL Technologies is an Equal Employment Opportunity Employer and all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.  Location: Chicago, IL  Role: Full-Time / Salaried",36.0,XSELL Technologies3.6,Chicago,51-200,2014,Private Company,Enterprise Software and Network Solutions,Information Technology,N/A ,Chicago, IL, IL,137,171,154.0,10,NA,1,0,0,0
17,data scientist,$137.000-$171.000 ,"Job Success Profile  Data Scientist  Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.  Position Summary   Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.  Competencies Needed for Success Bachelor�s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science 5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization and expertise in the following areas: Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications A demonstrated record of success with a verifiable portfolio of problems tackled Preferred Qualifications Master�s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science Experience in the specialty chemicals sector or similar industry Background in engineering, especially Chemical Engineering Experience starting up a data science program Experience working with global stakeholders Experience working in a start-up environment, preferably in an IoT company Knowledge in quantitative modeling tools and statistical analysis Preferred Work Style A strong business focus, ownership and inner self-drive to data science solutions to real-world customers with tangible impact. Ability to collaborate effectively with multi-disciplinary and passionate team members. Ability to communicate with a diverse set of stakeholders Strong planning and organization skills, with the ability to manage multiple complex projects A life-long learner who constantly updates skills Language: English  Location: Remote Work Opportunity - Flexible  Travel: <10>",35.0,Buckman3.5,Memphis,1001-5000,1945,Private Company,Chemical Manufacturing,Manufacturing,500 million to 1 billion ,Memphis, TN, TN,137,171,154.0,79,NA,1,1,0,1
